Player Name,Accurate Long Balls,Aerial Battles Lost,Aerial Battles Won,Appearances,Assists,Attack,Big Chances Created,Big Chances Missed,Blocked Shots,Catches,Clean Sheets,Clearances,Clearances Off Line,Club,Cross Accuracy %,Crosses,Defence,Discipline,Duels Lost,Duels Won,Errors Leading To Goal,Fouls,Goal Kicks,Goalkeeping,Goals,Goals Conceded,Goals From Freekick,Goals Per Match,Goals With Header,Goals With Left Foot,Goals With Right Foot,Headed Clearance,High Claims,Hit Woodwork,Interceptions,Last Man Tackles,Losses,Offsides,Own Goals,Passes,Passes Per Match,Penalties Saved,Penalties Scored,Position,Punches,Recoveries,Red Cards,Saves,Shooting Accuracy %,Shots,Shots On Target,Successful 50/50s,Sweeper Clearances,Tackle Success %,Tackles,Team Play,Through Balls,Throw Outs,Wins,Yellow Cards
Sam Johnstone,0,0,0,0,0,0,0,0,0,0,0,,0,Aston Villa,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,,0,0,,0,0,0,0,,0,,0,0,0,0
Phil Jones,401,195,302,162,5,,10,0,19,0,46,901,2,Manchester United,21,134,,,529,868,0,135,,0,2,141,0,0,1,0,1,463,0,3,349,10,35,3,1,6169,38.08,0,0,Defender,0,665,0,0,,0,0,65,0,73,353,,13,0,84,24
Jordan Ayew,,0,0,49,3,,6,2,24,0,0,19,0,Swansea City,,69,,,,,0,77,,0,9,0,0,0.18,2,1,6,10,0,4,33,0,29,17,0,1158,23.63,0,1,Forward,0,,1,0,37,78,29,0,0,,67,,0,0,9,7
José Fonte,691,227,395,173,2,,5,0,23,0,57,1158,2,West Ham United,27,51,,,458,768,5,134,,0,7,199,0,0,6,0,1,499,0,3,384,8,63,1,0,8469,48.95,0,0,Defender,0,833,1,0,,0,0,19,0,72,293,,6,0,64,25
José Izquierdo,,0,0,2,0,,0,0,0,0,0,0,0,Brighton and Hove Albion,,0,,,,,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,5,2.5,0,0,Forward,0,,0,0,1,1,0,0,0,,1,,0,0,0,0
Joselu,,0,0,26,1,,1,9,6,0,0,13,0,Newcastle United,,16,,,,,0,24,,0,5,0,0,0.19,1,0,4,5,0,0,7,0,9,8,0,460,17.69,0,0,Forward,0,,0,0,57,46,26,0,0,,16,,0,0,12,1
Josh Sims,0,7,2,7,1,,1,1,1,0,0,1,0,Southampton,8,8,,,17,17,0,2,,0,0,0,0,7,0,0,0,0,0,0,1,0,4,0,0,81,11.57,0,0,Midfielder,0,14,0,0,60,5,3,9,0,100,3,,0,0,2,0
Christian Kabasele,30,21,27,20,0,,0,0,2,0,3,58,0,Watford,30,10,,,47,54,0,14,,0,2,21,0,0,1,0,1,37,0,0,24,0,11,0,0,326,16.3,0,0,Defender,0,34,0,0,,0,0,3,0,65,20,,0,0,6,1
Younes Kaboul,564,304,542,197,5,,5,0,43,0,37,1640,4,Watford,11,196,,,742,1155,6,158,,0,12,270,0,0,4,3,5,641,0,5,432,10,79,5,3,6821,34.62,0,0,Defender,0,908,6,0,,0,0,124,0,74,403,,12,0,74,21
Elias Kachunga,,0,0,5,1,,0,1,1,0,0,1,0,Huddersfield Town,,7,,,,,0,7,,0,0,0,0,5,0,0,0,1,0,0,0,0,1,2,0,100,20,0,0,Forward,0,,0,0,50,2,1,0,0,,12,,0,0,2,0
Sullay Kaikai,1,2,0,3,0,,1,0,2,0,0,1,0,Crystal Palace,10,10,,,6,6,0,1,,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,29,9.67,0,0,Forward,0,5,0,0,33,3,1,2,0,25,4,,0,0,0,0
Tomas Kalas,7,1,1,2,0,,0,0,0,0,1,12,0,Fulham,0,0,,,2,2,0,0,,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,44,22,0,0,Defender,0,11,0,0,,0,0,1,0,0,0,,0,0,2,0
Harry Kane,,0,0,121,12,,19,52,110,0,0,82,0,Tottenham Hotspur,,131,,,,,0,112,,0,80,0,1,0.66,10,17,53,53,0,16,47,0,24,87,0,2714,22.43,0,12,Forward,0,,0,0,46,444,204,0,0,,94,,0,0,68,14
N'Golo Kanté,209,100,59,77,5,,6,2,16,0,0,105,0,Chelsea,23,31,,,414,501,0,101,,0,3,0,0,0.04,0,0,3,44,0,0,250,0,9,0,0,3839,49.86,0,0,Midfielder,0,649,0,0,25,53,13,88,0,69,320,,16,0,53,12
Loris Karius,48,0,0,11,0,0,0,0,0,4,4,,0,Liverpool,,,,,,,2,0,58,,0,12,0,0,0,0,0,0,5,0,0,0,1,0,0,303,27.55,0,0,Goalkeeper,6,,0,20,,0,0,0,4,,0,,0,39,7,0
